연번,기업명,영향범주,인증번호,제품군,인증제품명,자원발자국-총량,자원발자국-단위,자원발자국-제조전,자원발자국-제조,자원발자국-사용,자원발자국-폐기,탄소발자국-총량,탄소발자국-단위,탄소발자국-제조전,탄소발자국-제조,탄소발자국-사용,탄소발자국-폐기,오존층영향-총량,오존층영향-단위,오존층영향-제조전,오존층영향-제조,오존층영향-사용,오존층영향-폐기,산성비-총량,산성비-단위,산성비-제조전,산성비-제조,산성비-사용,산성비-폐기,부영양화-총량,부영양화-단위,부영양화-제조전,부영양화-제조,부영양화-사용,부영양화-폐기,광화학 스모그-총량,광화학 스모그-단위,광화학 스모그-제조전,광화학 스모그-제조,광화학 스모그-사용,광화학 스모그-폐기,물발자국-총량,물발자국-단위,물발자국-제조전,물발자국-제조,물발자국-사용,물발자국-폐기,시작,종료
1,고려기초소재(주),환경성적,2018-073,생산재,콘크리트혼화재(고로슬래그미분말),0.398,kgSbe/ton,0.146,0.252,,,62.3,kgCO2e/ton,21.7,40.6,,,0.00000677,kgCFC-11e/ton,0.00000664,0.000000128,,,0.321,kgSO2e/ton,0.217,0.105,,,0.0432,kgPO43-e/ton,0.0285,0.0147,,,0.0556,kgC2H4e/ton,0.0509,0.00472,,,0.427,m3H2Oe/ton,0.179,0.248,,,2021-07-26,2024-07-25
2,고려기초소재(주),환경성적,2018-074,생산재,콘크리트혼화재(고로슬래그시멘트),2.07,kgSbe/ton,2.07,0.00308,,,531,kgCO2e/ton,530,0.487,,,0.00000625,kgCFC-11e/ton,0.00000625,,,,0.634,kgSO2e/ton,0.633,0.000823,,,0.0719,kgPO43-e/ton,0.0718,0.000153,,,0.374,kgC2H4e/ton,0.374,0.00000347,,,0.869,m3H2Oe/ton,0.863,0.00607,,,2021-07-26,2024-07-25
3,고려에프에이(주),환경성적,2018-075,생산재,콘크리트혼화재(플라이애시),0.0686,kgSbe/ton,0.054,0.0146,,,10.2,kgCO2e/ton,7.94,2.31,,,0.00000297,kgCFC-11e/ton,0.00000297,,,,0.0426,kgSO2e/ton,0.0387,0.00391,,,0.00702,kgPO43-e/ton,0.0063,0.000727,,,0.0189,kgC2H4e/ton,0.0188,0.0000169,,,0.148,m3H2Oe/ton,0.12,0.0288,,,2021-07-26,2024-07-25
4,주식회사 에어론,저탄소제품,2021-232,생산재,에어론 저방사 단열재(준불연),1.11,kgSbe/m3,1.09,0.0118,,,91,kgCO2e/m3,89.3,1.67,,,0.00301,kgCFC-11e/m3,0.00301,,,,0.369,kgSO2e/m3,0.365,0.00412,,,1.75,kgPO43-e/m3,1.75,0.00153,,,0.224,kgC2H4e/m3,0.224,0.000188,,,1.58,m3H2Oe/m3,1.51,0.0703,,,2021-07-30,2024-07-29
5,산수음료(주),환경성적,2021-233,비내구재,i'm eco 산수 [0.5L],0.0924,kgSbe/개,0.0923,0.0000966,,0.00000405,0.104,kgCO2e/개,0.082,0.0145,,0.00751,0.0224,kgCFC-11e/개,0.0224,,,,0.178,kgSO2e/개,0.178,0.0000578,,0.00000478,0.0223,kgPO43-e/개,0.0223,0.00000958,,0.0000226,0.202,kgC2H4e/개,0.202,0.0000249,,0.0000011,0.0396,m3H2Oe/개,0.0394,0.000237,,0.00000316,2021-07-30,2024-07-29
6,산수음료(주),환경성적,2021-236,비내구재,i'm eco 산수 [0.33L],0.0654,kgSbe/개,0.0653,0.0000846,,0.00000307,0.0758,kgCO2e/개,0.0574,0.0127,,0.00561,0.0158,kgCFC-11e/개,0.0158,,,,0.126,kgSO2e/개,0.126,0.0000492,,0.00000367,0.0158,kgPO43-e/개,0.0157,0.00000818,,0.0000168,0.143,kgC2H4e/개,0.143,0.0000207,,0.000000865,0.028,m3H2Oe/개,0.0278,0.000202,,0.00000242,2021-07-30,2024-07-29
7,선진레미콘 주식회사,환경성적,2021-246,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",1.1,kgSbe/m3,1.08,0.0136,,,279,kgCO2e/m3,277,2.14,,,0.00000627,kgCFC-11e/m3,0.00000627,,,,0.479,kgSO2e/m3,0.474,0.00421,,,0.044,kgPO43-e/m3,0.0433,0.000701,,,0.21,kgC2H4e/m3,0.21,0.0000565,,,0.909,m3H2Oe/m3,0.873,0.0361,,,2021-07-30,2024-07-29
8,선진레미콘 주식회사,환경성적,2021-247,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.865,kgSbe/m3,0.853,0.0117,,,218,kgCO2e/m3,216,1.85,,,0.00000549,kgCFC-11e/m3,0.00000548,,,,0.415,kgSO2e/m3,0.412,0.00371,,,0.0365,kgPO43-e/m3,0.0359,0.000608,,,0.165,kgC2H4e/m3,0.165,0.0000544,,,0.813,m3H2Oe/m3,0.782,0.0315,,,2021-07-30,2024-07-29
9,선진레미콘 주식회사,환경성적,2021-248,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",1.04,kgSbe/m3,1.03,0.0112,,,262,kgCO2e/m3,260,1.76,,,0.00000697,kgCFC-11e/m3,0.00000696,,,,0.471,kgSO2e/m3,0.467,0.00357,,,0.0443,kgPO43-e/m3,0.0438,0.000582,,,0.201,kgC2H4e/m3,0.201,0.0000538,,,0.92,m3H2Oe/m3,0.889,0.0306,,,2021-07-30,2024-07-29
10,선진레미콘 주식회사,환경성적,2021-249,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",1.44,kgSbe/m3,1.43,0.0149,,,370,kgCO2e/m3,367,2.35,,,0.0000075,kgCFC-11e/m3,0.00000749,,,,0.577,kgSO2e/m3,0.572,0.00456,,,0.0553,kgPO43-e/m3,0.0545,0.000766,,,0.277,kgC2H4e/m3,0.277,0.000058,,,1.03,m3H2Oe/m3,0.991,0.0398,,,2021-07-30,2024-07-29
11,한국남동발전(주),환경성적,2021-250,생산재,분당발전본부 열 및 전기에너지[LNG],0.449,kgSbe/GJ,0.445,0.00404,,,86.1,kgCO2e/GJ,15,71.1,,,0.000000105,kgCFC-11e/GJ,0.000000105,,,,0.203,kgSO2e/GJ,0.0698,0.133,,,0.0276,kgPO43-e/GJ,0.00285,0.0248,,,0.478,kgC2H4e/GJ,0.471,0.00734,,,0.0286,m3H2Oe/GJ,0.00734,0.0213,,,2021-07-30,2024-07-29
12,삼성레미콘(주),환경성적,2021-251,생산재,"레디믹스트 콘크리트 [25-21-120, 충청도]",0.788,kgSbe/m3,0.773,0.0149,,,198,kgCO2e/m3,195,2.35,,,0.0000151,kgCFC-11e/m3,0.00000768,0.00000737,,,0.291,kgSO2e/m3,0.286,0.00509,,,0.0373,kgPO43-e/m3,0.0365,0.000792,,,0.161,kgC2H4e/m3,0.161,0.000104,,,0.698,m3H2Oe/m3,0.592,0.105,,,2021-07-30,2024-07-29
13,삼성레미콘(주),환경성적,2021-252,생산재,"레디믹스트 콘크리트 [25-21-150, 충청도]",0.964,kgSbe/m3,0.947,0.0172,,,245,kgCO2e/m3,242,2.72,,,0.0000155,kgCFC-11e/m3,0.00000809,0.00000737,,,0.339,kgSO2e/m3,0.333,0.00584,,,0.0419,kgPO43-e/m3,0.041,0.000917,,,0.195,kgC2H4e/m3,0.195,0.000121,,,0.783,m3H2Oe/m3,0.659,0.124,,,2021-07-30,2024-07-29
14,삼성레미콘(주),환경성적,2021-253,생산재,"레디믹스트 콘크리트 [25-24-120, 충청도]",0.879,kgSbe/m3,0.863,0.0163,,,221,kgCO2e/m3,219,2.57,,,0.0000155,kgCFC-11e/m3,0.00000808,0.00000737,,,0.319,kgSO2e/m3,0.313,0.00539,,,0.0403,kgPO43-e/m3,0.0395,0.000857,,,0.178,kgC2H4e/m3,0.178,0.0000961,,,0.756,m3H2Oe/m3,0.647,0.109,,,2021-07-30,2024-07-29
15,삼성레미콘(주),환경성적,2021-254,생산재,"레디믹스트 콘크리트 [25-24-150, 충청도]",0.939,kgSbe/m3,0.917,0.0218,,,238,kgCO2e/m3,235,3.45,,,0.0000153,kgCFC-11e/m3,0.0000079,0.00000737,,,0.331,kgSO2e/m3,0.324,0.00714,,,0.041,kgPO43-e/m3,0.0399,0.00115,,,0.189,kgC2H4e/m3,0.189,0.000133,,,0.774,m3H2Oe/m3,0.643,0.13,,,2021-07-30,2024-07-29
16,삼성레미콘(주),환경성적,2021-255,생산재,"레디믹스트 콘크리트 [25-27-150, 충청도]",1.07,kgSbe/m3,1.06,0.0112,,,273,kgCO2e/m3,271,1.78,,,0.000016,kgCFC-11e/m3,0.00000858,0.00000737,,,0.371,kgSO2e/m3,0.367,0.004,,,0.0454,kgPO43-e/m3,0.0448,0.000604,,,0.217,kgC2H4e/m3,0.216,0.0000865,,,0.81,m3H2Oe/m3,0.718,0.0919,,,2021-07-30,2024-07-29
17,(주)윈앤윈우드,저탄소제품,2021-256,생산재,로얄 크라운 강마루,0.149,kgSbe/box,0.144,0.00567,,,21,kgCO2e/box,19.6,1.45,,,0.00000161,kgCFC-11e/box,0.00000161,,,,0.108,kgSO2e/box,0.106,0.00207,,,0.0547,kgPO43-e/box,0.0538,0.000846,,,0.0393,kgC2H4e/box,0.0392,0.000148,,,0.0792,m3H2Oe/box,0.068,0.0111,,,2021-07-30,2024-07-29
18,우리도시개발(주),저탄소제품,2021-259,생산재,"레디믹스트 콘크리트[25-24-150, 수도권]",1.05,kgSbe/m3,1.02,0.0225,,,270,kgCO2e/m3,267,3.54,,,0.0000137,kgCFC-11e/m3,0.00000657,0.00000713,,,0.351,kgSO2e/m3,0.342,0.00875,,,0.0418,kgPO43-e/m3,0.0406,0.00128,,,0.205,kgC2H4e/m3,0.204,0.000485,,,0.687,m3H2Oe/m3,0.594,0.093,,,2021-07-30,2024-07-29
19,우리도시개발(주),저탄소제품,2021-260,생산재,"레디믹스트 콘크리트[25-21-150, 수도권]",0.944,kgSbe/m3,0.925,0.0188,,,244,kgCO2e/m3,241,2.96,,,0.0000133,kgCFC-11e/m3,0.00000617,0.00000713,,,0.32,kgSO2e/m3,0.312,0.00777,,,0.0384,kgPO43-e/m3,0.0373,0.0011,,,0.185,kgC2H4e/m3,0.185,0.00048,,,0.634,m3H2Oe/m3,0.55,0.0841,,,2021-07-30,2024-07-29
20,우리도시개발(주),저탄소제품,2021-261,생산재,"레디믹스트 콘크리트[25-27-150, 수도권]",1.15,kgSbe/m3,1.14,0.0187,,,299,kgCO2e/m3,296,2.93,,,0.0000142,kgCFC-11e/m3,0.00000704,0.00000713,,,0.384,kgSO2e/m3,0.376,0.00776,,,0.0454,kgPO43-e/m3,0.0444,0.00109,,,0.227,kgC2H4e/m3,0.226,0.000497,,,0.727,m3H2Oe/m3,0.643,0.0841,,,2021-07-30,2024-07-29
21,우리도시개발(주),저탄소제품,2021-262,생산재,"레디믹스트 콘크리트[25-30-150, 수도권]",1.13,kgSbe/m3,1.11,0.0221,,,290,kgCO2e/m3,286,3.46,,,0.0000145,kgCFC-11e/m3,0.00000739,0.00000713,,,0.383,kgSO2e/m3,0.374,0.00866,,,0.0461,kgPO43-e/m3,0.0448,0.00126,,,0.221,kgC2H4e/m3,0.221,0.000505,,,0.76,m3H2Oe/m3,0.669,0.0907,,,2021-07-30,2024-07-29
22,우리도시개발(주),저탄소제품,2021-263,생산재,"레디믹스트 콘크리트[25-35-150, 수도권]",1.14,kgSbe/m3,1.12,0.0201,,,291,kgCO2e/m3,287,3.15,,,0.0000147,kgCFC-11e/m3,0.00000761,0.00000713,,,0.387,kgSO2e/m3,0.379,0.00812,,,0.0469,kgPO43-e/m3,0.0457,0.00116,,,0.223,kgC2H4e/m3,0.222,0.000498,,,0.782,m3H2Oe/m3,0.695,0.0874,,,2021-07-30,2024-07-29
23,(주)모헨즈,환경성적,2021-264,생산재,"레디믹스트 콘크리트[25-30-150, 충청도]",0.821,kgSbe/m3,0.806,0.0144,,,293,kgCO2e/m3,291,2.26,,,0.0000109,kgCFC-11e/m3,0.0000109,,,,0.343,kgSO2e/m3,0.338,0.00504,,,0.0601,kgPO43-e/m3,0.0593,0.000767,,,0.0862,kgC2H4e/m3,0.0861,0.000102,,,0.934,m3H2Oe/m3,0.838,0.0951,,,2021-07-30,2024-07-29
24,(주)모헨즈,환경성적,2021-265,생산재,"레디믹스트 콘크리트[25-35-150, 충청도]",0.822,kgSbe/m3,0.809,0.0132,,,293,kgCO2e/m3,290,2.07,,,0.0000109,kgCFC-11e/m3,0.0000109,,,,0.345,kgSO2e/m3,0.341,0.0047,,,0.0605,kgPO43-e/m3,0.0598,0.000706,,,0.0861,kgC2H4e/m3,0.086,0.0000998,,,0.951,m3H2Oe/m3,0.853,0.0985,,,2021-07-30,2024-07-29
25,서진레미콘 주식회사,환경성적,2021-266,생산재,"레디믹스트 콘크리트[25-30-150, 강원도]",0.922,kgSbe/m3,0.912,0.0105,,,240,kgCO2e/m3,238,1.64,,,0.00000497,kgCFC-11e/m3,0.00000497,,,,0.305,kgSO2e/m3,0.302,0.00301,,,0.0364,kgPO43-e/m3,0.0358,0.000526,,,0.177,kgC2H4e/m3,0.177,0.0000282,,,0.689,m3H2Oe/m3,0.557,0.132,,,2021-07-30,2024-07-29
26,서진레미콘 주식회사,환경성적,2021-267,생산재,"레디믹스트 콘크리트[25-35-150, 강원도]",1.42,kgSbe/m3,1.41,0.0112,,,374,kgCO2e/m3,372,1.75,,,0.00000545,kgCFC-11e/m3,0.00000545,,,,0.439,kgSO2e/m3,0.436,0.0032,,,0.0495,kgPO43-e/m3,0.0489,0.000562,,,0.27,kgC2H4e/m3,0.27,0.000029,,,0.903,m3H2Oe/m3,0.77,0.133,,,2021-07-30,2024-07-29
27,(주)아이에스중공업,저탄소제품,2021-268,생산재,콘크리트 충진기둥 I-CFT Column,9.19,kgSbe/ton,9.09,0.101,,,2220,kgCO2e/ton,2200,19.7,,,0.0000516,kgCFC-11e/ton,0.0000516,,,,3.2,kgSO2e/ton,3.17,0.03,,,6.2,kgPO43-e/ton,6.19,0.00543,,,0.324,kgC2H4e/ton,0.324,0.00033,,,5.5,m3H2Oe/ton,5.31,0.192,,,2021-07-30,2024-07-29
28,(주)동산이엔지,환경성적,2021-269,생산재,고로슬래그시멘트,0.00168,kgSbe/kg,0.00166,0.0000132,,,0.434,kgCO2e/kg,0.432,0.00209,,,,kgCFC-11e/kg,,,,,0.0005,kgSO2e/kg,0.000497,0.00000354,,,0.0000572,kgPO43-e/kg,0.0000565,0.000000658,,,0.000306,kgC2H4e/kg,0.000306,,,,0.000718,m3H2Oe/kg,0.000692,0.0000261,,,2021-07-30,2024-07-29
29,(주)동산이엔지,환경성적,2021-270,생산재,콘크리트용혼합재,0.000311,kgSbe/kg,0.000282,0.000029,,,0.0476,kgCO2e/kg,0.043,0.00459,,,,kgCFC-11e/kg,,,,,0.000224,kgSO2e/kg,0.000216,0.00000776,,,0.0000413,kgPO43-e/kg,0.0000399,0.00000144,,,0.0000681,kgC2H4e/kg,0.0000681,,,,0.000562,m3H2Oe/kg,0.000505,0.0000572,,,2021-07-30,2024-07-29
30,덕원산업(주),환경성적,2021-272,생산재,"레디믹스트 콘크리트[25-35-150, 강원도]",0.832,kgSbe/m3,0.818,0.0143,,,323,kgCO2e/m3,321,2.26,,,0.00000631,kgCFC-11e/m3,0.00000631,,,,0.311,kgSO2e/m3,0.307,0.00465,,,0.0556,kgPO43-e/m3,0.0549,0.000749,,,0.0596,kgC2H4e/m3,0.0595,0.0000739,,,0.816,m3H2Oe/m3,0.707,0.11,,,2021-07-30,2024-07-29
31,서보산업(주),환경성적,2021-275,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",1.2,kgSbe/m3,1.19,0.0121,,,294,kgCO2e/m3,293,1.9,,,0.0000156,kgCFC-11e/m3,0.0000151,0.00000046,,,0.462,kgSO2e/m3,0.457,0.00459,,,0.0597,kgPO43-e/m3,0.059,0.00066,,,0.262,kgC2H4e/m3,0.262,0.00011,,,1.08,m3H2Oe/m3,0.977,0.101,,,2021-08-27,2024-08-26
32,서보산업(주),환경성적,2021-276,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",1.28,kgSbe/m3,1.26,0.0134,,,313,kgCO2e/m3,311,2.11,,,0.0000158,kgCFC-11e/m3,0.0000153,0.00000046,,,0.482,kgSO2e/m3,0.478,0.00494,,,0.0619,kgPO43-e/m3,0.0612,0.000726,,,0.275,kgC2H4e/m3,0.275,0.000112,,,1.11,m3H2Oe/m3,1.01,0.0965,,,2021-08-27,2024-08-26
33,서보산업(주),환경성적,2021-277,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",1.63,kgSbe/m3,1.62,0.0122,,,405,kgCO2e/m3,403,1.92,,,0.0000175,kgCFC-11e/m3,0.000017,0.00000046,,,0.593,kgSO2e/m3,0.588,0.00462,,,0.0743,kgPO43-e/m3,0.0736,0.000666,,,0.345,kgC2H4e/m3,0.345,0.00011,,,1.27,m3H2Oe/m3,1.18,0.0931,,,2021-08-27,2024-08-26
34,한일시멘트 주식회사,환경성적,2021-278,생산재,레미탈(타일떠붙임용)[40kg],0.0325,kgSbe/포대,0.0276,0.00483,,,7.34,kgCO2e/포대,6.62,0.72,,,0.000000256,kgCFC-11e/포대,0.000000254,,,,0.013,kgSO2e/포대,0.0111,0.00195,,,0.00232,kgPO43-e/포대,0.00206,0.000259,,,0.00721,kgC2H4e/포대,0.00554,0.00167,,,0.0209,m3H2Oe/포대,0.0183,0.00261,,,2021-08-27,2024-08-26
35,한일시멘트 주식회사,환경성적,2021-280,생산재,레미탈(폴리픽스300)[25kg],0.0278,kgSbe/포대,0.0248,0.00294,,,5.92,kgCO2e/포대,5.56,0.36,,,0.000000285,kgCFC-11e/포대,0.000000282,,,,0.0119,kgSO2e/포대,0.0105,0.00139,,,0.00202,kgPO43-e/포대,0.00187,0.000156,,,0.00491,kgC2H4e/포대,0.00482,0.0000878,,,0.0275,m3H2Oe/포대,0.0261,0.00139,,,2021-08-27,2024-08-26
36,한일시멘트 주식회사,환경성적,2021-281,생산재,레미탈(GP400)[25kg],0.0435,kgSbe/포대,0.0406,0.00294,,,10.2,kgCO2e/포대,9.8,0.361,,,0.000000415,kgCFC-11e/포대,0.000000413,,,,0.0176,kgSO2e/포대,0.0162,0.00138,,,0.00278,kgPO43-e/포대,0.00263,0.000156,,,0.00811,kgC2H4e/포대,0.00802,0.0000878,,,0.0396,m3H2Oe/포대,0.0382,0.00139,,,2021-08-27,2024-08-26
37,한일시멘트 주식회사,환경성적,2021-282,생산재,레미탈(경량그라우트),2.25,kgSbe/ton,2.21,0.0334,,,563,kgCO2e/ton,558,5.28,,,0.0000129,kgCFC-11e/ton,0.0000129,,,,0.719,kgSO2e/ton,0.71,0.00893,,,0.0866,kgPO43-e/ton,0.085,0.00166,,,0.428,kgC2H4e/ton,0.428,0.0000376,,,1.24,m3H2Oe/ton,1.18,0.0658,,,2021-08-27,2024-08-26
38,아주산업 주식회사,환경성적,2021-283,생산재,"레디믹스트 콘크리트[25-21-120,수도권]",0.846,kgSbe/m3,0.837,0.00824,,,217,kgCO2e/m3,216,1.31,,,0.00000624,kgCFC-11e/m3,0.00000624,,,,0.29,kgSO2e/m3,0.287,0.00273,,,0.0351,kgPO43-e/m3,0.0347,0.000433,,,0.169,kgC2H4e/m3,0.169,0.000207,,,0.6,m3H2Oe/m3,0.491,0.109,,,2021-08-27,2024-08-26
39,아주산업 주식회사,환경성적,2021-284,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.934,kgSbe/m3,0.926,0.00815,,,238,kgCO2e/m3,237,1.3,,,0.00000705,kgCFC-11e/m3,0.00000705,,,,0.319,kgSO2e/m3,0.316,0.00271,,,0.0387,kgPO43-e/m3,0.0382,0.000427,,,0.189,kgC2H4e/m3,0.188,0.000136,,,0.637,m3H2Oe/m3,0.547,0.0901,,,2021-08-27,2024-08-26
40,아주산업 주식회사,환경성적,2021-285,생산재,"레디믹스트 콘크리트[25-24-120,수도권]",0.835,kgSbe/m3,0.826,0.00883,,,215,kgCO2e/m3,213,1.43,,,0.00000592,kgCFC-11e/m3,0.00000591,,,,0.285,kgSO2e/m3,0.282,0.00294,,,0.0347,kgPO43-e/m3,0.0342,0.000468,,,0.168,kgC2H4e/m3,0.168,0.0003,,,0.62,m3H2Oe/m3,0.487,0.133,,,2021-08-27,2024-08-26
41,아주산업 주식회사,환경성적,2021-286,생산재,"레디믹스트 콘크리트[25-24-180,수도권]",1.05,kgSbe/m3,1.04,0.00863,,,272,kgCO2e/m3,271,1.37,,,0.00000684,kgCFC-11e/m3,0.00000684,,,,0.355,kgSO2e/m3,0.352,0.0027,,,0.0424,kgPO43-e/m3,0.0419,0.000448,,,0.213,kgC2H4e/m3,0.212,0.000275,,,0.701,m3H2Oe/m3,0.585,0.116,,,2021-08-27,2024-08-26
42,아주산업 주식회사,환경성적,2021-287,생산재,"레디믹스트 콘크리트[25-27-180,수도권]",1.08,kgSbe/m3,1.07,0.00837,,,279,kgCO2e/m3,278,1.34,,,0.00000797,kgCFC-11e/m3,0.00000797,,,,0.378,kgSO2e/m3,0.375,0.0027,,,0.0455,kgPO43-e/m3,0.0451,0.000435,,,0.228,kgC2H4e/m3,0.228,0.000191,,,0.724,m3H2Oe/m3,0.631,0.0929,,,2021-08-27,2024-08-26
43,아주산업 주식회사,환경성적,2021-288,생산재,"레디믹스트 콘크리트[25-40-150,수도권]",1.41,kgSbe/m3,1.4,0.0091,,,362,kgCO2e/m3,360,1.45,,,0.00000912,kgCFC-11e/m3,0.00000912,,,,0.466,kgSO2e/m3,0.463,0.0029,,,0.055,kgPO43-e/m3,0.0546,0.000474,,,0.281,kgC2H4e/m3,0.281,0.000432,,,0.894,m3H2Oe/m3,0.779,0.115,,,2021-08-27,2024-08-26
44,(주)자양에프앤비,환경성적,2021-290,비내구재,자양돌김[1캔:50g],0.00654,kgSbe/캔,0.00585,0.000649,,0.0000415,0.634,kgCO2e/캔,0.503,0.102,,0.029,,kgCFC-11e/캔,,,,,0.00291,kgSO2e/캔,0.00262,0.000227,,0.0000633,0.0013,kgPO43-e/캔,0.00116,0.0000402,,0.0000956,0.000579,kgC2H4e/캔,0.000518,0.00004,,0.0000209,0.0102,m3H2Oe/캔,0.00888,0.0013,,0.0000413,2021-08-27,2024-08-26
45,(주)자양에프앤비,환경성적,2021-291,비내구재,고소한 식탁김[1봉:5g],0.00123,kgSbe/봉,0.00117,0.0000555,,0.00000309,0.0581,kgCO2e/봉,0.0445,0.00872,,0.00491,,kgCFC-11e/봉,,,,,0.000362,kgSO2e/봉,0.00034,0.0000177,,0.00000437,0.000228,kgPO43-e/봉,0.000212,0.00000318,,0.0000129,0.000254,kgC2H4e/봉,0.000251,0.00000217,,0.00000124,0.000915,m3H2Oe/봉,0.000801,0.000111,,0.00000281,2021-08-27,2024-08-26
46,한일시멘트 주식회사,저탄소제품,2021-292,생산재,레미탈(일반미장용)[40kg],0.0296,kgSbe/개,0.0248,0.00484,,,6.62,kgCO2e/개,5.91,0.712,,,0.000000249,kgCFC-11e/개,0.000000247,,,,0.0117,kgSO2e/개,0.00976,0.00195,,,0.00198,kgPO43-e/개,0.00173,0.000259,,,0.00655,kgC2H4e/개,0.00505,0.0015,,,0.0208,m3H2Oe/개,0.0182,0.0026,,,2021-08-27,2024-08-26
47,한일시멘트 주식회사,저탄소제품,2021-293,생산재,레미탈(일반바닥용(FS100)),0.000802,kgSbe/kg,0.000688,0.000114,,,0.187,kgCO2e/kg,0.171,0.016,,,,kgCFC-11e/kg,,,,,0.000301,kgSO2e/kg,0.000253,0.0000476,,,0.000037,kgPO43-e/kg,0.000031,0.00000605,,,0.000174,kgC2H4e/kg,0.000143,0.0000305,,,0.000476,m3H2Oe/kg,0.000428,0.0000481,,,2021-08-27,2024-08-26
48,현대레미콘(주),저탄소제품,2021-294,생산재,"레디믹스트 콘크리트[25-24-150, 수도권]",1.07,kgSbe/m3,1.06,0.0135,,,278,kgCO2e/m3,276,2.13,,,0.00000959,kgCFC-11e/m3,0.00000665,0.00000294,,,0.358,kgSO2e/m3,0.353,0.0052,,,0.0425,kgPO43-e/m3,0.0417,0.000742,,,0.211,kgC2H4e/m3,0.211,0.000128,,,0.647,m3H2Oe/m3,0.584,0.0627,,,2021-08-27,2024-08-26
49,현대레미콘(주),저탄소제품,2021-295,생산재,"레디믹스트 콘크리트[25-21-150, 수도권]",0.936,kgSbe/m3,0.925,0.0117,,,243,kgCO2e/m3,241,1.83,,,0.00000901,kgCFC-11e/m3,0.00000608,0.00000294,,,0.316,kgSO2e/m3,0.311,0.0047,,,0.0378,kgPO43-e/m3,0.0372,0.00065,,,0.185,kgC2H4e/m3,0.185,0.000126,,,0.582,m3H2Oe/m3,0.524,0.0584,,,2021-08-27,2024-08-26
50,현대레미콘(주),저탄소제품,2021-296,생산재,"레디믹스트 콘크리트[25-27-150, 수도권]",1.16,kgSbe/m3,1.15,0.0132,,,301,kgCO2e/m3,299,2.08,,,0.00000995,kgCFC-11e/m3,0.00000702,0.00000294,,,0.385,kgSO2e/m3,0.38,0.00512,,,0.0454,kgPO43-e/m3,0.0447,0.000728,,,0.228,kgC2H4e/m3,0.228,0.000128,,,0.687,m3H2Oe/m3,0.625,0.0621,,,2021-08-27,2024-08-26
51,현대레미콘(주),저탄소제품,2021-297,생산재,"레디믹스트 콘크리트[25-30-150, 수도권]",1.28,kgSbe/m3,1.26,0.0131,,,331,kgCO2e/m3,329,2.05,,,0.0000105,kgCFC-11e/m3,0.00000752,0.00000294,,,0.42,kgSO2e/m3,0.415,0.00507,,,0.0493,kgPO43-e/m3,0.0486,0.000719,,,0.251,kgC2H4e/m3,0.251,0.000127,,,0.734,m3H2Oe/m3,0.673,0.0617,,,2021-08-27,2024-08-26
52,현대레미콘(주),저탄소제품,2021-298,생산재,"레디믹스트 콘크리트[25-35-150, 수도권]",1.28,kgSbe/m3,1.26,0.0134,,,331,kgCO2e/m3,329,2.11,,,0.0000104,kgCFC-11e/m3,0.00000751,0.00000294,,,0.42,kgSO2e/m3,0.415,0.00517,,,0.0493,kgPO43-e/m3,0.0486,0.000738,,,0.251,kgC2H4e/m3,0.251,0.000128,,,0.73,m3H2Oe/m3,0.667,0.063,,,2021-08-27,2024-08-26
53,삼덕산업(주),환경성적,2021-299,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.987,kgSbe/m3,0.976,0.011,,,253,kgCO2e/m3,251,1.69,,,0.00000802,kgCFC-11e/m3,0.00000756,0.000000466,,,0.386,kgSO2e/m3,0.378,0.00803,,,0.0448,kgPO43-e/m3,0.044,0.000771,,,0.202,kgC2H4e/m3,0.201,0.000374,,,0.77,m3H2Oe/m3,0.66,0.11,,,2021-08-27,2024-08-26
54,삼덕산업(주),환경성적,2021-300,생산재,"레디믹스트 콘크리트[25-24-120,수도권]",0.948,kgSbe/m3,0.937,0.0112,,,242,kgCO2e/m3,240,1.72,,,0.00000799,kgCFC-11e/m3,0.00000752,0.000000466,,,0.374,kgSO2e/m3,0.366,0.00807,,,0.0435,kgPO43-e/m3,0.0428,0.000778,,,0.195,kgC2H4e/m3,0.194,0.000374,,,0.72,m3H2Oe/m3,0.613,0.107,,,2021-08-27,2024-08-26
55,삼덕산업(주),환경성적,2021-301,생산재,"레디믹스트 콘크리트[25-24-180,수도권]",1.14,kgSbe/m3,1.13,0.0123,,,293,kgCO2e/m3,291,1.9,,,0.00000847,kgCFC-11e/m3,0.000008,0.000000466,,,0.439,kgSO2e/m3,0.431,0.00838,,,0.0502,kgPO43-e/m3,0.0494,0.000834,,,0.232,kgC2H4e/m3,0.231,0.000376,,,0.819,m3H2Oe/m3,0.709,0.111,,,2021-08-27,2024-08-26
